id,date,open,high,low,close,volume,vol_fiat,sma10,sma20,sma30,sma50,sma100,sma200,sma400,sma500,sma1000,ema10,ema20,ema30,ema50,ema100,ema200,ema400,ema500,ema1000,macd1,macd2,macd3,macd4,Daily_Return,7Day_MA,Volume_Category
1179,2025-02-20,25.56,26.12,24.48,26.09,1.44497001E8,1740085200000,22.096,21.297,20.836666666666666,21.1182,21.812199999999997,25.930300000000003,32.732350000000004,32.031279999999995,39.65078,0,0,0,0,0,0,0,0,0,0.7501611,0,0,0,0.020735524256651063,22.786250000000003,High
1121,2024-12-23,19.58,20.23,19.52,20.2,5.7067106E7,1734987600000,20.078,21.721,22.659333333333333,22.7052,23.052,29.41875,33.455225,32.494369999999996,0.0,0,0,0,0,0,0,0,0,0,-0.23556902,0,0,0,0.031664964249233964,19.97625,High
730,2023-12-06,42.48,42.59,41.17,41.27,3.1992262E7,1701896400000,43.486000000000004,42.161500000000004,40.205333333333336,38.4026,36.7718,33.520450000000004,33.6349875,36.82789,0.0,0,0,0,0,0,0,0,0,0,-0.44377513,0,0,0,-0.028483992467043168,43.40375,High
954,2024-07-31,30.54,30.87,30.28,30.74,5.4788142E7,1722456000000,32.001999999999995,32.722500000000004,32.06733333333333,31.577399999999997,34.557199999999995,38.57765,34.9275,34.20289,0.0,0,0,0,0,0,0,0,0,0,-0.46534725,0,0,0,0.006548788474132263,31.521250000000002,High
864,2024-05-21,31.98,32.24,31.62,31.74,4.2741159E7,1716321600000,31.047000000000004,31.361,32.797333333333334,36.5006,40.861999999999995,39.45075,34.4943625,35.055510000000005,0.0,0,0,0,0,0,0,0,0,0,0.63278575,0,0,0,-0.007504690431519762,31.297499999999996,High
705,2023-10-31,35.66,36.57,35.62,36.5,4.1185207E7,1698782400000,34.775,35.528000000000006,35.28966666666667,35.6506,34.7997,31.920650000000002,34.0568375,37.29955,0.0,0,0,0,0,0,0,0,0,0,0.12838222,0,0,0,0.023555804823331562,34.555,High
982,2024-08-21,21.072,21.44,21.07,21.41,5.447063E7,1724270400000,20.395,24.0135,27.351999999999997,28.8136,31.4298,37.57565,34.676050000000004,33.70299,0.0,0,0,0,0,0,0,0,0,0,0.02559433,0,0,0,0.016040242976461703,20.55875,High
1071,2024-11-04,22.96,23.0,22.0,22.52,8.387316E7,1730754000000,22.612000000000002,22.7525,22.723000000000003,21.723200000000002,25.5415,32.5811,33.974875000000004,32.75419,0.0,0,0,0,0,0,0,0,0,0,-0.15410639,0,0,0,-0.019163763066202145,22.605,High
698,2023-10-20,35.65,36.28,34.87,34.92,3.2303325E7,1697832000000,36.103,35.6825,36.14033333333334,35.567,34.458800000000004,31.644000000000002,34.2888875,37.564949999999996,0.0,0,0,0,0,0,0,0,0,0,-0.06714202,0,0,0,-0.02047685834502095,34.92,High
706,2023-11-01,36.5,37.315,36.28,37.29,4.1710705E7,1698868800000,34.94,35.596000000000004,35.376333333333335,35.7386,34.8544,31.9774,34.0354875,37.265190000000004,0.0,0,0,0,0,0,0,0,0,0,0.26266424,0,0,0,0.02164383561643833,34.85125,High
1025,2024-09-24,22.53,23.105,22.285,22.81,1.12662206E8,1727208000000,21.016,20.4515,20.471333333333334,24.0372,27.5287,35.41455,34.253875,33.05733,0.0,0,0,0,0,0,0,0,0,0,0.65092675,0,0,0,0.01242787394584987,21.395,High
865,2024-05-22,31.91,32.066,31.095,31.42,3.4870891E7,1716408000000,31.189,31.207,32.60466666666667,36.2242,40.6712,39.435900000000004,34.5056875,35.02527,0.0,0,0,0,0,0,0,0,0,0,0.60409466,0,0,0,-0.015355687872140346,31.49375,High
733,2023-12-11,43.16,44.73,43.08,44.54,4.8288156E7,1702328400000,43.254000000000005,42.902,41.15533333333334,38.8836,37.0324,33.7423,33.6017625,36.78929,0.0,0,0,0,0,0,0,0,0,0,-0.35655882,0,0,0,0.03197405004633926,42.92125,High
740,2023-12-20,46.64,46.95,45.7,45.76,3.8159137E7,1703106000000,44.745,44.1155,43.022666666666666,40.2118,37.8044,34.35405,33.591237500000005,36.732769999999995,0.0,0,0,0,0,0,0,0,0,0,-0.10979698,0,0,0,-0.01886792452830194,45.325,High
703,2023-10-27,34.66,36.38,34.6,35.54,8.4128212E7,1698436800000,34.818,35.476,35.361,35.5246,34.7002,31.82,34.1120875,37.37189,0.0,0,0,0,0,0,0,0,0,0,-0.1429245,0,0,0,0.02538949798038092,34.041666666666664,High
1059,2024-10-23,22.3,22.425,21.575,21.98,4.547977E7,1729713600000,22.895,22.954,22.061,21.3466,26.089699999999997,33.47585,34.02495,32.81343,0.0,0,0,0,0,0,0,0,0,0,-0.23114466,0,0,0,-0.014349775784753376,22.90625,High
714,2023-11-13,38.35,38.565,38.14,38.23,2.4558261E7,1699909200000,37.916000000000004,36.3235,36.297000000000004,36.3654,35.1682,32.4133,33.8627125,37.05653,0.0,0,0,0,0,0,0,0,0,0,0.26711512,0,0,0,-0.003129074315515112,38.17125000000001,High
946,2024-07-25,31.372,31.985,30.95,31.1,4.9210827E7,1721937600000,33.472,32.717,32.052,31.57,35.0831,38.6809,34.912462500000004,34.25743,0.0,0,0,0,0,0,0,0,0,0,-0.30108948,0,0,0,-0.008670151727655185,33.221250000000005,High
719,2023-11-20,43.78,44.93,43.78,44.74,4.4596396E7,1700514000000,40.35,38.1125,37.369,36.8344,35.6202,32.73295,33.7459125,36.982150000000004,0.0,0,0,0,0,0,0,0,0,0,0.79205208,0,0,0,0.021927820922795816,40.85124999999999,High
